measure,quantile,area,sex,age,geography,ethnic,value
lx,2.50%,01 Northland region,Male,80-84 years,Regional council,Total,56614
lx,2.50%,01 Northland region,Male,85-89 years,Regional council,Total,40312
lx,2.50%,01 Northland region,Male,90 years,Regional council,Total,20274
lx,50%,01 Northland region,Female,0 years,Regional council,Total,100000
lx,50%,01 Northland region,Female,1-4 years,Regional council,Total,99521
lx,50%,01 Northland region,Female,5-9 years,Regional council,Total,99432
lx,50%,01 Northland region,Female,10-14 years,Regional council,Total,99378
lx,50%,01 Northland region,Female,15-19 years,Regional council,Total,99306
lx,50%,01 Northland region,Female,20-24 years,Regional council,Total,99128
lx,50%,01 Northland region,Female,25-29 years,Regional council,Total,98897
lx,50%,01 Northland region,Female,30-34 years,Regional council,Total,98669
lx,50%,01 Northland region,Female,35-39 years,Regional council,Total,98372
lx,50%,01 Northland region,Female,40-44 years,Regional council,Total,98005
lx,50%,01 Northland region,Female,45-49 years,Regional council,Total,97465
lx,50%,01 Northland region,Female,50-54 years,Regional council,Total,96498
lx,50%,01 Northland region,Female,55-59 years,Regional council,Total,95003
lx,50%,01 Northland region,Female,60-64 years,Regional council,Total,92985
lx,50%,01 Northland region,Female,65-69 years,Regional council,Total,89897
lx,50%,01 Northland region,Female,70-74 years,Regional council,Total,85803
lx,50%,01 Northland region,Female,75-79 years,Regional council,Total,79443
lx,50%,01 Northland region,Female,80-84 years,Regional council,Total,68705
lx,50%,01 Northland region,Female,85-89 years,Regional council,Total,52047
lx,50%,01 Northland region,Female,90 years,Regional council,Total,30553
lx,50%,01 Northland region,Male,0 years,Regional council,Total,100000
lx,50%,01 Northland region,Male,1-4 years,Regional council,Total,99436
lx,50%,01 Northland region,Male,5-9 years,Regional council,Total,99329
lx,50%,01 Northland region,Male,10-14 years,Regional council,Total,99263
lx,50%,01 Northland region,Male,15-19 years,Regional council,Total,99161
lx,50%,01 Northland region,Male,20-24 years,Regional council,Total,98836
lx,50%,01 Northland region,Male,25-29 years,Regional council,Total,98328
lx,50%,01 Northland region,Male,30-34 years,Regional council,Total,97833
lx,50%,01 Northland region,Male,35-39 years,Regional council,Total,97267
lx,50%,01 Northland region,Male,40-44 years,Regional council,Total,96557
lx,50%,01 Northland region,Male,45-49 years,Regional council,Total,95671
lx,50%,01 Northland region,Male,50-54 years,Regional council,Total,94266
lx,50%,01 Northland region,Male,55-59 years,Regional council,Total,92152
lx,50%,01 Northland region,Male,60-64 years,Regional council,Total,89075
lx,50%,01 Northland region,Male,65-69 years,Regional council,Total,85077
lx,50%,01 Northland region,Male,70-74 years,Regional council,Total,79312
lx,50%,01 Northland region,Male,75-79 years,Regional council,Total,70711
lx,50%,01 Northland region,Male,80-84 years,Regional council,Total,58094
lx,50%,01 Northland region,Male,85-89 years,Regional council,Total,42011
lx,50%,01 Northland region,Male,90 years,Regional council,Total,21917
lx,97.50%,01 Northland region,Female,0 years,Regional council,Total,100000
lx,97.50%,01 Northland region,Female,1-4 years,Regional council,Total,99609
lx,97.50%,01 Northland region,Female,5-9 years,Regional council,Total,99523
lx,97.50%,01 Northland region,Female,10-14 years,Regional council,Total,99472
lx,97.50%,01 Northland region,Female,15-19 years,Regional council,Total,99403
lx,97.50%,01 Northland region,Female,20-24 years,Regional council,Total,99235
lx,97.50%,01 Northland region,Female,25-29 years,Regional council,Total,99014
lx,97.50%,01 Northland region,Female,30-34 years,Regional council,Total,98803
lx,97.50%,01 Northland region,Female,35-39 years,Regional council,Total,98522
lx,97.50%,01 Northland region,Female,40-44 years,Regional council,Total,98179
lx,97.50%,01 Northland region,Female,45-49 years,Regional council,Total,97669
lx,97.50%,01 Northland region,Female,50-54 years,Regional council,Total,96767
lx,97.50%,01 Northland region,Female,55-59 years,Regional council,Total,95377
lx,97.50%,01 Northland region,Female,60-64 years,Regional council,Total,93456
lx,97.50%,01 Northland region,Female,65-69 years,Regional council,Total,90539
lx,97.50%,01 Northland region,Female,70-74 years,Regional council,Total,86568
lx,97.50%,01 Northland region,Female,75-79 years,Regional council,Total,80475
lx,97.50%,01 Northland region,Female,80-84 years,Regional council,Total,70032
lx,97.50%,01 Northland region,Female,85-89 years,Regional council,Total,53717
lx,97.50%,01 Northland region,Female,90 years,Regional council,Total,32351
lx,97.50%,01 Northland region,Male,0 years,Regional council,Total,100000
lx,97.50%,01 Northland region,Male,1-4 years,Regional council,Total,99532
lx,97.50%,01 Northland region,Male,5-9 years,Regional council,Total,99430
lx,97.50%,01 Northland region,Male,10-14 years,Regional council,Total,99366
lx,97.50%,01 Northland region,Male,15-19 years,Regional council,Total,99268
lx,97.50%,01 Northland region,Male,20-24 years,Regional council,Total,98964
lx,97.50%,01 Northland region,Male,25-29 years,Regional council,Total,98492
lx,97.50%,01 Northland region,Male,30-34 years,Regional council,Total,98027
lx,97.50%,01 Northland region,Male,35-39 years,Regional council,Total,97489
lx,97.50%,01 Northland region,Male,40-44 years,Regional council,Total,96823
lx,97.50%,01 Northland region,Male,45-49 years,Regional council,Total,96001
lx,97.50%,01 Northland region,Male,50-54 years,Regional council,Total,94684
lx,97.50%,01 Northland region,Male,55-59 years,Regional council,Total,92689
lx,97.50%,01 Northland region,Male,60-64 years,Regional council,Total,89754
lx,97.50%,01 Northland region,Male,65-69 years,Regional council,Total,85871
lx,97.50%,01 Northland region,Male,70-74 years,Regional council,Total,80296
lx,97.50%,01 Northland region,Male,75-79 years,Regional council,Total,71901
lx,97.50%,01 Northland region,Male,80-84 years,Regional council,Total,59513
lx,97.50%,01 Northland region,Male,85-89 years,Regional council,Total,43642
lx,97.50%,01 Northland region,Male,90 years,Regional council,Total,23594
lx,2.50%,02 Auckland region,Female,0 years,Regional council,Total,100000
lx,2.50%,02 Auckland region,Female,1-4 years,Regional council,Total,99562
lx,2.50%,02 Auckland region,Female,5-9 years,Regional council,Total,99490
lx,2.50%,02 Auckland region,Female,10-14 years,Regional council,Total,99450
lx,2.50%,02 Auckland region,Female,15-19 years,Regional council,Total,99394
lx,2.50%,02 Auckland region,Female,20-24 years,Regional council,Total,99255
lx,2.50%,02 Auckland region,Female,25-29 years,Regional council,Total,99083
lx,2.50%,02 Auckland region,Female,30-34 years,Regional council,Total,98917
lx,2.50%,02 Auckland region,Female,35-39 years,Regional council,Total,98698
lx,2.50%,02 Auckland region,Female,40-44 years,Regional council,Total,98407
lx,2.50%,02 Auckland region,Female,45-49 years,Regional council,Total,98004
lx,2.50%,02 Auckland region,Female,50-54 years,Regional council,Total,97306
lx,2.50%,02 Auckland region,Female,55-59 years,Regional council,Total,96189
lx,2.50%,02 Auckland region,Female,60-64 years,Regional council,Total,94633
lx,2.50%,02 Auckland region,Female,65-69 years,Regional council,Total,92353
lx,2.50%,02 Auckland region,Female,70-74 years,Regional council,Total,88704
lx,2.50%,02 Auckland region,Female,75-79 years,Regional council,Total,82916
lx,2.50%,02 Auckland region,Female,80-84 years,Regional council,Total,73791
lx,2.50%,02 Auckland region,Female,85-89 years,Regional council,Total,58952
lx,2.50%,02 Auckland region,Female,90 years,Regional council,Total,37129
lx,2.50%,02 Auckland region,Male,0 years,Regional council,Total,100000
lx,2.50%,02 Auckland region,Male,1-4 years,Regional council,Total,99463
lx,2.50%,02 Auckland region,Male,5-9 years,Regional council,Total,99383
lx,2.50%,02 Auckland region,Male,10-14 years,Regional council,Total,99332
lx,2.50%,02 Auckland region,Male,15-19 years,Regional council,Total,99259
lx,2.50%,02 Auckland region,Male,20-24 years,Regional council,Total,99023
lx,2.50%,02 Auckland region,Male,25-29 years,Regional council,Total,98694
lx,2.50%,02 Auckland region,Male,30-34 years,Regional council,Total,98355
lx,2.50%,02 Auckland region,Male,35-39 years,Regional council,Total,97962
lx,2.50%,02 Auckland region,Male,40-44 years,Regional council,Total,97513
lx,2.50%,02 Auckland region,Male,45-49 years,Regional council,Total,96804
lx,2.50%,02 Auckland region,Male,50-54 years,Regional council,Total,95802
lx,2.50%,02 Auckland region,Male,55-59 years,Regional council,Total,94257
lx,2.50%,02 Auckland region,Male,60-64 years,Regional council,Total,92029
lx,2.50%,02 Auckland region,Male,65-69 years,Regional council,Total,88650
lx,2.50%,02 Auckland region,Male,70-74 years,Regional council,Total,83711
lx,2.50%,02 Auckland region,Male,75-79 years,Regional council,Total,76311
lx,2.50%,02 Auckland region,Male,80-84 years,Regional council,Total,64501
lx,2.50%,02 Auckland region,Male,85-89 years,Regional council,Total,47535
lx,2.50%,02 Auckland region,Male,90 years,Regional council,Total,26033
lx,50%,02 Auckland region,Female,0 years,Regional council,Total,100000
lx,50%,02 Auckland region,Female,1-4 years,Regional council,Total,99616
lx,50%,02 Auckland region,Female,5-9 years,Regional council,Total,99549
lx,50%,02 Auckland region,Female,10-14 years,Regional council,Total,99509
lx,50%,02 Auckland region,Female,15-19 years,Regional council,Total,99457
lx,50%,02 Auckland region,Female,20-24 years,Regional council,Total,99325
lx,50%,02 Auckland region,Female,25-29 years,Regional council,Total,99159
lx,50%,02 Auckland region,Female,30-34 years,Regional council,Total,99000
lx,50%,02 Auckland region,Female,35-39 years,Regional council,Total,98789
lx,50%,02 Auckland region,Female,40-44 years,Regional council,Total,98505
lx,50%,02 Auckland region,Female,45-49 years,Regional council,Total,98118
lx,50%,02 Auckland region,Female,50-54 years,Regional council,Total,97448
lx,50%,02 Auckland region,Female,55-59 years,Regional council,Total,96357
lx,50%,02 Auckland region,Female,60-64 years,Regional council,Total,94844
lx,50%,02 Auckland region,Female,65-69 years,Regional council,Total,92617
lx,50%,02 Auckland region,Female,70-74 years,Regional council,Total,89048
lx,50%,02 Auckland region,Female,75-79 years,Regional council,Total,83393
lx,50%,02 Auckland region,Female,80-84 years,Regional council,Total,74393
lx,50%,02 Auckland region,Female,85-89 years,Regional council,Total,59738
lx,50%,02 Auckland region,Female,90 years,Regional council,Total,38027
lx,50%,02 Auckland region,Male,0 years,Regional council,Total,100000
lx,50%,02 Auckland region,Male,1-4 years,Regional council,Total,99530
lx,50%,02 Auckland region,Male,5-9 years,Regional council,Total,99451
lx,50%,02 Auckland region,Male,10-14 years,Regional council,Total,99403
lx,50%,02 Auckland region,Male,15-19 years,Regional council,Total,99331
lx,50%,02 Auckland region,Male,20-24 years,Regional council,Total,99105
lx,50%,02 Auckland region,Male,25-29 years,Regional council,Total,98785
lx,50%,02 Auckland region,Male,30-34 years,Regional council,Total,98458
lx,50%,02 Auckland region,Male,35-39 years,Regional council,Total,98079
lx,50%,02 Auckland region,Male,40-44 years,Regional council,Total,97646
lx,50%,02 Auckland region,Male,45-49 years,Regional council,Total,96963
lx,50%,02 Auckland region,Male,50-54 years,Regional council,Total,95991
lx,50%,02 Auckland region,Male,55-59 years,Regional council,Total,94483
lx,50%,02 Auckland region,Male,60-64 years,Regional council,Total,92293
lx,50%,02 Auckland region,Male,65-69 years,Regional council,Total,88988
lx,50%,02 Auckland region,Male,70-74 years,Regional council,Total,84125
lx,50%,02 Auckland region,Male,75-79 years,Regional council,Total,76832
lx,50%,02 Auckland region,Male,80-84 years,Regional council,Total,65192
lx,50%,02 Auckland region,Male,85-89 years,Regional council,Total,48364
lx,50%,02 Auckland region,Male,90 years,Regional council,Total,26876
lx,97.50%,02 Auckland region,Female,0 years,Regional council,Total,100000
lx,97.50%,02 Auckland region,Female,1-4 years,Regional council,Total,99668
lx,97.50%,02 Auckland region,Female,5-9 years,Regional council,Total,99604
lx,97.50%,02 Auckland region,Female,10-14 years,Regional council,Total,99566
lx,97.50%,02 Auckland region,Female,15-19 years,Regional council,Total,99517
lx,97.50%,02 Auckland region,Female,20-24 years,Regional council,Total,99390
lx,97.50%,02 Auckland region,Female,25-29 years,Regional council,Total,99231
lx,97.50%,02 Auckland region,Female,30-34 years,Regional council,Total,99081
lx,97.50%,02 Auckland region,Female,35-39 years,Regional council,Total,98877
lx,97.50%,02 Auckland region,Female,40-44 years,Regional council,Total,98600
lx,97.50%,02 Auckland region,Female,45-49 years,Regional council,Total,98227
lx,97.50%,02 Auckland region,Female,50-54 years,Regional council,Total,97581
lx,97.50%,02 Auckland region,Female,55-59 years,Regional council,Total,96526
lx,97.50%,02 Auckland region,Female,60-64 years,Regional council,Total,95052
lx,97.50%,02 Auckland region,Female,65-69 years,Regional council,Total,92891
lx,97.50%,02 Auckland region,Female,70-74 years,Regional council,Total,89389
lx,97.50%,02 Auckland region,Female,75-79 years,Regional council,Total,83851
lx,97.50%,02 Auckland region,Female,80-84 years,Regional council,Total,74987
lx,97.50%,02 Auckland region,Female,85-89 years,Regional council,Total,60503
lx,97.50%,02 Auckland region,Female,90 years,Regional council,Total,38888
lx,97.50%,02 Auckland region,Male,0 years,Regional council,Total,100000
lx,97.50%,02 Auckland region,Male,1-4 years,Regional council,Total,99587
lx,97.50%,02 Auckland region,Male,5-9 years,Regional council,Total,99510
lx,97.50%,02 Auckland region,Male,10-14 years,Regional council,Total,99465
lx,97.50%,02 Auckland region,Male,15-19 years,Regional council,Total,99395
lx,97.50%,02 Auckland region,Male,20-24 years,Regional council,Total,99177
lx,97.50%,02 Auckland region,Male,25-29 years,Regional council,Total,98871
lx,97.50%,02 Auckland region,Male,30-34 years,Regional council,Total,98555
lx,97.50%,02 Auckland region,Male,35-39 years,Regional council,Total,98191
lx,97.50%,02 Auckland region,Male,40-44 years,Regional council,Total,97778
lx,97.50%,02 Auckland region,Male,45-49 years,Regional council,Total,97118
lx,97.50%,02 Auckland region,Male,50-54 years,Regional council,Total,96162
lx,97.50%,02 Auckland region,Male,55-59 years,Regional council,Total,94686
lx,97.50%,02 Auckland region,Male,60-64 years,Regional council,Total,92541
lx,97.50%,02 Auckland region,Male,65-69 years,Regional council,Total,89304
lx,97.50%,02 Auckland region,Male,70-74 years,Regional council,Total,84529
lx,97.50%,02 Auckland region,Male,75-79 years,Regional council,Total,77359
lx,97.50%,02 Auckland region,Male,80-84 years,Regional council,Total,65875
lx,97.50%,02 Auckland region,Male,85-89 years,Regional council,Total,49194
lx,97.50%,02 Auckland region,Male,90 years,Regional council,Total,27748
lx,2.50%,03 Waikato region,Female,0 years,Regional council,Total,100000
lx,2.50%,03 Waikato region,Female,1-4 years,Regional council,Total,99475
lx,2.50%,03 Waikato region,Female,5-9 years,Regional council,Total,99388
lx,2.50%,03 Waikato region,Female,10-14 years,Regional council,Total,99340
lx,2.50%,03 Waikato region,Female,15-19 years,Regional council,Total,99271
lx,2.50%,03 Waikato region,Female,20-24 years,Regional council,Total,99116
lx,2.50%,03 Waikato region,Female,25-29 years,Regional council,Total,98906
lx,2.50%,03 Waikato region,Female,30-34 years,Regional council,Total,98702
lx,2.50%,03 Waikato region,Female,35-39 years,Regional council,Total,98442
lx,2.50%,03 Waikato region,Female,40-44 years,Regional council,Total,98098
lx,2.50%,03 Waikato region,Female,45-49 years,Regional council,Total,97579
lx,2.50%,03 Waikato region,Female,50-54 years,Regional council,Total,96753
lx,2.50%,03 Waikato region,Female,55-59 years,Regional council,Total,95476
lx,2.50%,03 Waikato region,Female,60-64 years,Regional council,Total,93631
lx,2.50%,03 Waikato region,Female,65-69 years,Regional council,Total,90903
lx,2.50%,03 Waikato region,Female,70-74 years,Regional council,Total,86708
lx,2.50%,03 Waikato region,Female,75-79 years,Regional council,Total,79912
lx,2.50%,03 Waikato region,Female,80-84 years,Regional council,Total,70281
lx,2.50%,03 Waikato region,Female,85-89 years,Regional council,Total,55145
lx,2.50%,03 Waikato region,Female,90 years,Regional council,Total,32640
lx,2.50%,03 Waikato region,Male,0 years,Regional council,Total,100000
lx,2.50%,03 Waikato region,Male,1-4 years,Regional council,Total,99416
lx,2.50%,03 Waikato region,Male,5-9 years,Regional council,Total,99318
lx,2.50%,03 Waikato region,Male,10-14 years,Regional council,Total,99255
lx,2.50%,03 Waikato region,Male,15-19 years,Regional council,Total,99163
lx,2.50%,03 Waikato region,Male,20-24 years,Regional council,Total,98859
lx,2.50%,03 Waikato region,Male,25-29 years,Regional council,Total,98373
lx,2.50%,03 Waikato region,Male,30-34 years,Regional council,Total,97940
lx,2.50%,03 Waikato region,Male,35-39 years,Regional council,Total,97390
lx,2.50%,03 Waikato region,Male,40-44 years,Regional council,Total,96773
lx,2.50%,03 Waikato region,Male,45-49 years,Regional council,Total,95995
lx,2.50%,03 Waikato region,Male,50-54 years,Regional council,Total,94814
lx,2.50%,03 Waikato region,Male,55-59 years,Regional council,Total,92887
lx,2.50%,03 Waikato region,Male,60-64 years,Regional council,Total,90025
lx,2.50%,03 Waikato region,Male,65-69 years,Regional council,Total,86076
lx,2.50%,03 Waikato region,Male,70-74 years,Regional council,Total,80334
lx,2.50%,03 Waikato region,Male,75-79 years,Regional council,Total,72565
lx,2.50%,03 Waikato region,Male,80-84 years,Regional council,Total,60189
lx,2.50%,03 Waikato region,Male,85-89 years,Regional council,Total,42548
lx,2.50%,03 Waikato region,Male,90 years,Regional council,Total,21772
lx,50%,03 Waikato region,Female,0 years,Regional council,Total,100000
lx,50%,03 Waikato region,Female,1-4 years,Regional council,Total,99554
lx,50%,03 Waikato region,Female,5-9 years,Regional council,Total,99471
lx,50%,03 Waikato region,Female,10-14 years,Regional council,Total,99424
lx,50%,03 Waikato region,Female,15-19 years,Regional council,Total,99360
lx,50%,03 Waikato region,Female,20-24 years,Regional council,Total,99211
lx,50%,03 Waikato region,Female,25-29 years,Regional council,Total,99013
lx,50%,03 Waikato region,Female,30-34 years,Regional council,Total,98820
lx,50%,03 Waikato region,Female,35-39 years,Regional council,Total,98573
lx,50%,03 Waikato region,Female,40-44 years,Regional council,Total,98245
lx,50%,03 Waikato region,Female,45-49 years,Regional council,Total,97759
lx,50%,03 Waikato region,Female,50-54 years,Regional council,Total,96973
lx,50%,03 Waikato region,Female,55-59 years,Regional council,Total,95759
lx,50%,03 Waikato region,Female,60-64 years,Regional council,Total,93972
lx,50%,03 Waikato region,Female,65-69 years,Regional council,Total,91351
lx,50%,03 Waikato region,Female,70-74 years,Regional council,Total,87298
lx,50%,03 Waikato region,Female,75-79 years,Regional council,Total,80688
lx,50%,03 Waikato region,Female,80-84 years,Regional council,Total,71224
lx,50%,03 Waikato region,Female,85-89 years,Regional council,Total,56297
lx,50%,03 Waikato region,Female,90 years,Regional council,Total,33961
lx,50%,03 Waikato region,Male,0 years,Regional council,Total,100000
lx,50%,03 Waikato region,Male,1-4 years,Regional council,Total,99505
lx,50%,03 Waikato region,Male,5-9 years,Regional council,Total,99411
lx,50%,03 Waikato region,Male,10-14 years,Regional council,Total,99351
lx,50%,03 Waikato region,Male,15-19 years,Regional council,Total,99263
lx,50%,03 Waikato region,Male,20-24 years,Regional council,Total,98972
lx,50%,03 Waikato region,Male,25-29 years,Regional council,Total,98520
lx,50%,03 Waikato region,Male,30-34 years,Regional council,Total,98108
lx,50%,03 Waikato region,Male,35-39 years,Regional council,Total,97590
lx,50%,03 Waikato region,Male,40-44 years,Regional council,Total,97006
lx,50%,03 Waikato region,Male,45-49 years,Regional council,Total,96261
lx,50%,03 Waikato region,Male,50-54 years,Regional council,Total,95128
lx,50%,03 Waikato region,Male,55-59 years,Regional council,Total,93257
lx,50%,03 Waikato region,Male,60-64 years,Regional council,Total,90495
lx,50%,03 Waikato region,Male,65-69 years,Regional council,Total,86663
lx,50%,03 Waikato region,Male,70-74 years,Regional council,Total,81024
lx,50%,03 Waikato region,Male,75-79 years,Regional council,Total,73410
lx,50%,03 Waikato region,Male,80-84 years,Regional council,Total,61213
lx,50%,03 Waikato region,Male,85-89 years,Regional council,Total,43769
lx,50%,03 Waikato region,Male,90 years,Regional council,Total,22974
lx,97.50%,03 Waikato region,Female,0 years,Regional council,Total,100000
lx,97.50%,03 Waikato region,Female,1-4 years,Regional council,Total,99624
lx,97.50%,03 Waikato region,Female,5-9 years,Regional council,Total,99548
lx,97.50%,03 Waikato region,Female,10-14 years,Regional council,Total,99502
lx,97.50%,03 Waikato region,Female,15-19 years,Regional council,Total,99441
lx,97.50%,03 Waikato region,Female,20-24 years,Regional council,Total,99300
lx,97.50%,03 Waikato region,Female,25-29 years,Regional council,Total,99113
lx,97.50%,03 Waikato region,Female,30-34 years,Regional council,Total,98930
lx,97.50%,03 Waikato region,Female,35-39 years,Regional council,Total,98690
lx,97.50%,03 Waikato region,Female,40-44 years,Regional council,Total,98378
lx,97.50%,03 Waikato region,Female,45-49 years,Regional council,Total,97920
lx,97.50%,03 Waikato region,Female,50-54 years,Regional council,Total,97169
lx,97.50%,03 Waikato region,Female,55-59 years,Regional council,Total,96022
lx,97.50%,03 Waikato region,Female,60-64 years,Regional council,Total,94300
lx,97.50%,03 Waikato region,Female,65-69 years,Regional council,Total,91778
lx,97.50%,03 Waikato region,Female,70-74 years,Regional council,Total,87875
lx,97.50%,03 Waikato region,Female,75-79 years,Regional council,Total,81427
lx,97.50%,03 Waikato region,Female,80-84 years,Regional council,Total,72200
lx,97.50%,03 Waikato region,Female,85-89 years,Regional council,Total,57506
lx,97.50%,03 Waikato region,Female,90 years,Regional council,Total,35255
lx,97.50%,03 Waikato region,Male,0 years,Regional council,Total,100000
lx,97.50%,03 Waikato region,Male,1-4 years,Regional council,Total,99584
lx,97.50%,03 Waikato region,Male,5-9 years,Regional council,Total,99495
lx,97.50%,03 Waikato region,Male,10-14 years,Regional council,Total,99439
lx,97.50%,03 Waikato region,Male,15-19 years,Regional council,Total,99357
lx,97.50%,03 Waikato region,Male,20-24 years,Regional council,Total,99080
lx,97.50%,03 Waikato region,Male,25-29 years,Regional council,Total,98648
lx,97.50%,03 Waikato region,Male,30-34 years,Regional council,Total,98264
lx,97.50%,03 Waikato region,Male,35-39 years,Regional council,Total,97769
lx,97.50%,03 Waikato region,Male,40-44 years,Regional council,Total,97206
lx,97.50%,03 Waikato region,Male,45-49 years,Regional council,Total,96491
lx,97.50%,03 Waikato region,Male,50-54 years,Regional council,Total,95406
lx,97.50%,03 Waikato region,Male,55-59 years,Regional council,Total,93627
lx,97.50%,03 Waikato region,Male,60-64 years,Regional council,Total,90952
lx,97.50%,03 Waikato region,Male,65-69 years,Regional council,Total,87225
lx,97.50%,03 Waikato region,Male,70-74 years,Regional council,Total,81736
lx,97.50%,03 Waikato region,Male,75-79 years,Regional council,Total,74259
lx,97.50%,03 Waikato region,Male,80-84 years,Regional council,Total,62255
lx,97.50%,03 Waikato region,Male,85-89 years,Regional council,Total,45027
lx,97.50%,03 Waikato region,Male,90 years,Regional council,Total,24137
lx,2.50%,04 Bay of Plenty region,Female,0 years,Regional council,Total,100000
lx,2.50%,04 Bay of Plenty region,Female,1-4 years,Regional council,Total,99430
lx,2.50%,04 Bay of Plenty region,Female,5-9 years,Regional council,Total,99337
lx,2.50%,04 Bay of Plenty region,Female,10-14 years,Regional council,Total,99286
lx,2.50%,04 Bay of Plenty region,Female,15-19 years,Regional council,Total,99217
lx,2.50%,04 Bay of Plenty region,Female,20-24 years,Regional council,Total,99047
lx,2.50%,04 Bay of Plenty region,Female,25-29 years,Regional council,Total,98824
lx,2.50%,04 Bay of Plenty region,Female,30-34 years,Regional council,Total,98599
lx,2.50%,04 Bay of Plenty region,Female,35-39 years,Regional council,Total,98320
lx,2.50%,04 Bay of Plenty region,Female,40-44 years,Regional council,Total,97950
lx,2.50%,04 Bay of Plenty region,Female,45-49 years,Regional council,Total,97385
lx,2.50%,04 Bay of Plenty region,Female,50-54 years,Regional council,Total,96527
lx,2.50%,04 Bay of Plenty region,Female,55-59 years,Regional council,Total,95177
lx,2.50%,04 Bay of Plenty region,Female,60-64 years,Regional council,Total,93022
lx,2.50%,04 Bay of Plenty region,Female,65-69 years,Regional council,Total,90167
lx,2.50%,04 Bay of Plenty region,Female,70-74 years,Regional council,Total,85780
lx,2.50%,04 Bay of Plenty region,Female,75-79 years,Regional council,Total,79886
lx,2.50%,04 Bay of Plenty region,Female,80-84 years,Regional council,Total,70653
lx,2.50%,04 Bay of Plenty region,Female,85-89 years,Regional council,Total,55214
lx,2.50%,04 Bay of Plenty region,Female,90 years,Regional council,Total,33662
lx,2.50%,04 Bay of Plenty region,Male,0 years,Regional council,Total,100000
lx,2.50%,04 Bay of Plenty region,Male,1-4 years,Regional council,Total,99386
lx,2.50%,04 Bay of Plenty region,Male,5-9 years,Regional council,Total,99280
lx,2.50%,04 Bay of Plenty region,Male,10-14 years,Regional council,Total,99218
lx,2.50%,04 Bay of Plenty region,Male,15-19 years,Regional council,Total,99125
lx,2.50%,04 Bay of Plenty region,Male,20-24 years,Regional council,Total,98822
lx,2.50%,04 Bay of Plenty region,Male,25-29 years,Regional council,Total,98303
lx,2.50%,04 Bay of Plenty region,Male,30-34 years,Regional council,Total,97843
lx,2.50%,04 Bay of Plenty region,Male,35-39 years,Regional council,Total,97254
lx,2.50%,04 Bay of Plenty region,Male,40-44 years,Regional council,Total,96567
lx,2.50%,04 Bay of Plenty region,Male,45-49 years,Regional council,Total,95679
lx,2.50%,04 Bay of Plenty region,Male,50-54 years,Regional council,Total,94498
lx,2.50%,04 Bay of Plenty region,Male,55-59 years,Regional council,Total,92331
lx,2.50%,04 Bay of Plenty region,Male,60-64 years,Regional council,Total,89345
lx,2.50%,04 Bay of Plenty region,Male,65-69 years,Regional council,Total,85119
